effects,name,pageUrl
Effects Medical Giggly Happy Hungry Aroused Creative Eye Pressure Lack of Appetite Muscle Spasms Nausea Pain,Blue Sky,https://www.leafly.com/hybrid/blue-sky
,Blue Thai,https://www.leafly.com/hybrid/blue-thai
Effects Medical Negatives Euphoric Uplifted Happy Relaxed Aroused Depression Pain Stress Headaches Nausea Dry Mouth Dry Eyes Dizzy,Blue Trainwreck,https://www.leafly.com/hybrid/blue-train
Effects Medical Happy Tingly Uplifted Pain Stress,Blue Treat,https://www.leafly.com/hybrid/blue-treat
Effects Medical Creative Dry Mouth Euphoric Happy Relaxed Depression Headaches Muscle Spasms Pain Stress,Blue Velvet,https://www.leafly.com/hybrid/blue-velvet
Effects Medical Negatives Relaxed Euphoric Happy Giggly Uplifted Stress Pain Depression Insomnia Headaches Dry Mouth Dry Eyes,Blue Venom,https://www.leafly.com/hybrid/blue-venom
Effects Medical Negatives Happy Relaxed Euphoric Uplifted Energetic Pain Stress Depression Insomnia Lack of Appetite Dry Mouth Dry Eyes Headache Paranoid Dizzy,Blue Widow,https://www.leafly.com/hybrid/blue-widow
Effects Medical Negatives Happy Euphoric Relaxed Hungry Uplifted Stress Pain Depression Muscle Spasms Headaches Dry Eyes Anxious Dizzy,Blue Wreck,https://www.leafly.com/hybrid/blue-wreck
Effects Medical Negatives Relaxed Happy Uplifted Euphoric Creative Pain Stress Insomnia Lack of Appetite Depression Dry Mouth Dry Eyes Headache Paranoid Dizzy,Blueberry Cheesecake,https://www.leafly.com/hybrid/blueberry-cheesecake
Effects Medical Negatives Happy Relaxed Euphoric Uplifted Hungry Stress Depression Pain Nausea Insomnia Dry Mouth Dry Eyes Paranoid Dizzy Anxious,Blueberry Diesel,https://www.leafly.com/hybrid/blueberry-diesel
Effects Medical Negatives Relaxed Happy Uplifted Euphoric Tingly Pain Stress Insomnia Depression Muscle Spasms Dry Mouth Dry Eyes,Blueberry Essence,https://www.leafly.com/hybrid/blueberry-essence
Effects Medical Negatives Euphoric Happy Uplifted Relaxed Creative Stress Depression Pain Headaches Fatigue Dry Mouth Dry Eyes Paranoid Dizzy Anxious,Blueberry Haze,https://www.leafly.com/hybrid/blueberry-haze
Effects Medical Negatives Happy Uplifted Relaxed Euphoric Creative Stress Depression Insomnia Pain Lack of Appetite Dry Mouth Dry Eyes Dizzy Headache Paranoid,Blueberry Headband,https://www.leafly.com/hybrid/blueberry-headband
Effects Medical Negatives Relaxed Creative Energetic Happy Focused Stress Depression Pain Nausea Inflammation Dry Mouth Anxious Dry Eyes Paranoid Headache,Blueberry Jack,https://www.leafly.com/hybrid/blueberry-jack
Effects Medical Euphoric Relaxed Uplifted Aroused Creative Depression Lack of Appetite Stress,Blueberry Lambsbread,https://www.leafly.com/hybrid/blueberry-lambsbread
Effects Medical Happy Relaxed Euphoric Uplifted Creative Depression Pain Stress Insomnia Headaches,Blueberry Silvertip,https://www.leafly.com/hybrid/blueberry-silvertip
Effects Medical Negatives Happy Relaxed Giggly Euphoric Uplifted Stress Depression Pain Insomnia Lack of Appetite Dry Mouth Dizzy Headache Dry Eyes Paranoid,Blueberry Yum Yum,https://www.leafly.com/hybrid/blueberry-yum-yum
Effects Medical Relaxed Giggly Hungry Sleepy Euphoric Headaches Pain Stress Eye Pressure Depression,Blues,https://www.leafly.com/hybrid/blues
,Blukashima,https://www.leafly.com/hybrid/blukashima
Effects Medical Creative Focused Happy Relaxed Headaches Pain,Bluniverse,https://www.leafly.com/hybrid/bluniverse
